question,answer,comment
Do you restrict and tightly control the use of utility programs to ensure that they cannot be used to override system and application controls?,yes,Governed at SMKI Procedure and we implement control by implementation of Endpoint Detection and Response (EDR)
Do you restrict access to program source code?,yes,Governed at SMKI Procedure and we implement control by implementation of authentication control to access code repository.
Do you have an implemented policy on the use of cryptographic controls for the protection of information?,yes,Governed at SMKI Procedure and we implement key management at AWS KMS
Have you created physical security perimeters to protect areas that contain either sensitive or critical information and information processing facilities?,yes,Governed at SMKI Procedure and we have certified ISO 27001
Do you have physical security measures in place covering your organisation’s offices rooms and facilities?,yes,Governed at SMKI Procedure
Do you ensure that all equipment containing storage media is verified to ensure that any sensitive data and licenced software as been removed or securely overwritten prior to disposal or re-use?,yes,Governed at SMKI Procedure
Are your operation procedures documented securely held and accessible 24/7 to users that need them?,yes,Our infrastructure is located at cloud and managed by cloud proivider.
Do you control changes to the organisation business processes information processing facilities and systems that affect information security?,yes,Governed at SMKI Procedure
Is the performance of business applications systems and networks monitored and tuned continuously against agreed targets?,yes,Governed at SMKI Procedure
Do you separate development test and operational environments to reduce the risks of unauthorised access or changes to the operational environment ?,yes,Governed at SMKI Procedure
Have you implemented detection prevention and recovery controls along with appropriate user awareness to protect against malware and viruses?,yes,Governed at SMKI Procedure and we implement control by implementation of Endpoint Detection and Response (EDR)
Do you have protocols and hardware in place to securely backup and when necessary restore the data IT and network infrastructure necessary to deliver your goods and services to third party wherever it resides. e.g. locally or as a 3rd party service i.e. Cloud Services?,yes,Governed at SMKI Procedure stored at cloud service.
Do you employ backup retention and rotation policies which ensure multiple points of recovery from increasing lengths of time? E.g. Daily Weekly Monthly?,yes,Governed at SMKI Procedure stored at cloud service.
Do you take backup copies of information software and system images in accordance with an agreed backup policy (including offsite storage) and regularly tests such backups to validate their usability and to confirm SLA’s.?,yes,Governed at SMKI Procedure stored at cloud service.
Do you produce keep and regularly review event logs recording user activities exceptions faults and information security events?,yes,yes Governed at SMKI Procedure. Implementation for google workspace the log stored at EDR.
Do you protect logging facilities and log information against tampering and unauthorised access?,yes,yes Governed at SMKI Procedure. The log can only be accessed by authorized person.
Do you synchronize clocks of all relevant system processing systems within the organisation or security domain to a single reference time source?,yes,yes Governed at SMKI Procedure. Automatic sync to time.windows.com
Have you implemented procedures to control the installation of software on operational systems?,yes,yes Governed at SMKI Procedure. 
Do you regularly (e.g. <12months) manage your technical vulnerabilities by obtaining in a timely fashion information about technical vulnerabilities of information systems being used and evaluate the organisation's exposure to such vulnerabilities and take appropriate measures to address the associated risks? ,yes,yes Governed at SMKI Procedure. We perform regular VAPT internal or by engaging 3rd independent party 
Where applicable do you employ any mechanisms or procedures to stop or mitigate the various types of Distributed Denial of Service DDOS attacks which may impact services and goods provided to third party,yes,yes we enable ddos protection in our firewall and AWS WAF.
Where applicable do you test your DDoS defences?,yes,yes we test our ddos protection .
Have you established and implemented controls to ensure the security of information in networks and the protection of connected services from unauthorised access?,yes,yes Governed at SMKI Procedure and implement access control in each system/application.
Have you identified and included in all network services agreements the security mechanisms service levels and management requirements for all network services whether these services are provided in-house or outsourced.,yes,yes Governed at SMKI Procedure and implement access control in each system/application.
Do you use segregation to protect networks by segregating groups of information services users and information systems?,yes,yes Governed at SMKI Procedure and implement network segregation.
Have you established and implemented formal transfer policies procedures and controls to protect the transfer of information through the use of all types of communications facilities?,yes,yes Governed at SMKI Procedure and implement VPN encryption and protocols TLS 1.2.
Do you have security information transfer agreements in place to address the secure transfer of information between your organisation and external parties?,yes,yes stipulated in the NDA with contractor/vendor.
Do you have appropriate protection over information sent using electronic messaging?,yes,yes Governed at SMKI Procedure and implement Google Workspace security such as email encryption Google Drive security and also Email DLP.
"Do you consider and include information security related requirements in the requirements for new information systems or enhancements to existing information systems?
",yes,yes coverned in the Security System Engineering Principle (SSEP) Policy
Do you protect information involved in application services passing across public networks from fraudulent activity contract dispute and unauthorised disclosure and modification.,yes,yes we implement authentication by Google SSO MFA and VPN access.
Do you protect information involved in application service transactions to prevent incomplete transmission mis-routing unauthorised message alteration unauthorised disclosure or unauthorised message duplication or relay?,no,Halodoc do not implement online commercial transaction directly.
Do you have established and applied rules for the development of software and systems within your organisation?,yes,yes coverned in the Security System Engineering Principle (SSEP) Policy
Do you control and restrict any modifications to software packages?,yes,yes coverned in the Security System Engineering Principle (SSEP) Policy and SMKI Procedure and implement authentication for accessing the source code.
Have you established documented maintained and applied to any information systems implementation efforts?,yes,yes coverned in the Security System Engineering Principle (SSEP) Policy
Do your organization establish and and appropriately protect secure development environments for system development and integration efforts that cover the entire system development lifecycle?,yes,yes coverned in the Security System Engineering Principle (SSEP) Policy
Do you supervise and monitor the activity of outsourced system development?,no,Halodoc does not outsource the development all are done by in-house development.
Do carry out testing of security functionality during the development cycle?,yes,We perform security testing for deployed application.
Have you established acceptance testing programs and related criteria to test new information systems upgrades and new versions?,yes,We perform acceptance testing for deployed application.
Do you control and protect data used for system testing ensuring that it is carefully selected and avoiding operational data containing personally identifiable information or any other confidential information ?,yes,yes we perform the testing by using dummy data.
Have your key suppliers that you require in order to support third party business services and/or processes been identified?			,yes,yes we have identified the supplier/3rd party.
Do you establish and agree all relevant security requirements with each supplier that may access process store communicate or provide IT infrastructure components for organisation's information?,yes,yes stated in the agreement with NDA.
Do you regularly monitor review and audit supplier service delivery to ensure that they maintain an agreed level of security?,yes,We regularly review and monitor their deliverables and SLA by monthly report and discussion.
Do you manage changes to the provision of services provided by suppliers including maintaining and improving existing security policies procedures and controls taking account of the criticality of the business information systems and processes involved and re-assessment of risk?,yes,yes Governed at SMKI Procedure and implement network segregation.
Do you have a documented strategy for exercising and testing the Business Continuity Crisis Management and IT Service Continuity Plan(s)?,yes,yes governed in our BCP Guideline.
Is your Operational Resilience (OR) program exercised on an annual basis covering Business Continuity IT Resilience/IT Service Continuity Crisis/Incident Management. If these are not exercised/tested on an annual basis on what frequency are they exercised/tested?,yes,yes governed in our BCP Guideline.
Do you use exercise and test results to improve and update your Business Continuity Management Crisis Management and IT Service Continuity Management programme?,yes,yes we regularly perform DR Simulation testing.
As part of your exercises and/or tests have gaps been identified and remediated prior to the next exercise and or test?,yes,yes we regularly perform DR Simulation testing and addressing the gap.
Have Incident Management and Crisis Management Business Continuity Management IT Service Continuity and mass notification tools been implemented?,yes,yes governed in our BCP Guideline.
Have you established management responsibilities and procedures to ensure quick effective and orderly response to incidents and crisis (e.g. information security operational technology)?,yes,yes governed in the Cyber Security Incident Management Playbook document.
Do you report incidents and crisis (e.g. information security operational technology) through appropriate channels and as quickly as possible?,yes,yes governed in the Cyber Security Incident Management Playbook document. We don't have any security breach for the last 12 months.
Do you respond to incidents and crisis in accordance with documented procedures?,no,We don't have any security breach for the last 12 months.
Do you ensure that knowledge gained from analysing and resolving incidents and crisis are used to reduce the likelihood or impact of future events?,no,We don't have any security breach for the last 12 months.
Do you define and implement procedures for the identification collection acquisition and preservation of information which can serve as evidence?,yes,yes governed in the Cyber Security Incident Management Playbook document. 
Has your Crisis Management Plan been reviewed in the past 12 months and updated ?,yes,yes we have reviewed our BCP Guideline every year.
Is your Core Crisis Management Team at executive level?,yes,yes governed in our BCP Guideline.
Have deputies been identified for all roles within the Crisis Management Team?,yes,yes governed in our BCP Guideline.
Do you ensure that contact details are reviewed and updated to notify third party in the event of an incident/crisis impacting those services and/or process that support third party business services/processes,yes,yes still up to date.
Have you provided third party with contact details of your Incident and Crisis Management Teams as appropriate?,yes,Will be provided once requested.
Does the schedule provide for an annual Critical staff emergency notification cascade test?,yes,yes governed in our BCP Guideline that there will be annual testing 
Are your senior management and operational management teams trained and experienced in managing incidents/crisis and business continuity events?,yes,yes we provide awareness session for Management especially before the simulation.
Have all the Crisis Management Team received a training in the past 12 months ?,yes,yes we provide awareness session especially before the annual simulation.
Are crisis exercises conducted each year to rehearse the crisis management team and validate Crisis management plans?,yes,yes.
Do you have a communication plan / stakeholder engagement plan detailing who you would communicate to what when and how?,yes,yes governed in our BCP Guideline.
Has your communication plan been reviewed and re issued to appropriate staff within the last 12 months?,yes,yes we provide awareness session especially before the annual simulation.
Has the designated spokespersons received media training?,yes,yes.
As part of your Communications policy/training is it stated that the designated spokesperson shall only refer to your organisation as part of any communications i.e. third party will not be referred to.,yes,yes.
Has a full Business Impact Analysis (BIA) programme been conducted across your business within the last 12 months? If not when was the last full Business Impact Analysis (BIA) programme undertaken? If a FULL BIA has not been undertaken has a BIA been undertaken for Operations that support third party services and when was this last undertaken? ,yes,yes in the last September 2023.
Have you identified the processes/activities which are essential for the delivery of the full range of your products and services required to support third party business services/processes?,yes,yes we have identified critical process and systems to our business to support our customers.
Were all activities that support third party business services and/or processes considered and identified as critical?,yes,yes based on BIA in the BCP Guideline.
Have the BCM Plan(s) that support third party services been reviewed in the past 12 months as identified in your BIA?,yes,yes.
"Do your BCM plans cover the impacts of availability of :
 - Premises
 - Technology
 - People
 - Third-Parties (Internal / External)
 - Data",yes,yes governed in our BCP Guideline.
Do your Business Continuity plans document the key recovery activities for each of the stated recovery roles?,yes,yes governed in our BCP Guideline.
Within in your Business Continuity plan(s) are key tasks and activities documented for Strategic and Tactical responses to be undertaken by the Business Recovery teams?,yes,yes governed in our BCP Guideline.
"Do your Business Continuity Plan(s) that support third party services include:
 - Recovery Time Objective (RTO)
 - Recovery Point Objective (RPO)",yes,yes governed in our BCP Guideline.
"Do you have a business continuity recovery strategy for availability of :
 - Premises
 - Technology
 - People
 - Third-Parties (Internal / External)
 - Data",yes,yes governed in our BCP Guideline.
"Do your IT Service Continuity Plan(s) that support third party services include:
 - Recovery Time Objective (RTO)
 - Recovery Point Objective (RPO)
 - Service Level Agreement (SLA)",yes,yes governed in our BCP Guideline.
Within your IT Service Continuity plan(s) are key tasks and activities documented for Strategic and Tactical responses to be undertaken by the Technology Recovery teams?,yes,yes governed in our BCP Guideline.
Do you employ protocols or hardware to ensure the rapid recovery and reinstatement of your login authentication capability i.e. Active Directory?,yes,We use Google Workspace.
Have the ITSCM Plan(s) that support third party services been reviewed in the past 12 months as identified in your BIA?,yes,yes.
Have you explicitly identified documented and kept up to date for each information system in the organisation all relevant legislative regulatory or contractual requirements (i.e. labour code employment code) and the organisation's approach to meet those requirements?,yes,yes taken care by our Legal Team.
Have you implemented appropriate procedures to ensure compliance with legislative regulator and contractual requirements related to intellectual property rights and use of proprietary software products.,yes,yes Governed at SMKI Procedure. 
Do you protected records from loss destruction falsification unauthorized access and unauthorized release in accordance with legislator regulatory contractual and business requirements?,yes,yes Governed at SMKI Procedure. 
Do you ensure protection and privacy of Personally Identifiable Information (PII) as required by relevant legislation and regulations?,yes,yes.
Do you perform at planned intervals or when significant changes occur independent reviews of the organisation's approach to managing security and its implementation (i.e. control objectives controls policies processes and procedures for security)?,yes,Conducted by external party (certification body) every year for ISO 27001 and ISO 27701 certification or surveillance process.
 Do you regularly review the compliance of information processing and procedures within their area of responsibility with the appropriate security policies standards and any other security requirements?,yes,By external review or internal audit.
Are information systems regularly reviewed for compliance with the organisation's information security policies and standards,yes,We perform regular vulnerability assessment and penetration testing.
Has your Operational Resilience programme including Business Continuity Management Crisis & Incident Management and IT Service Continuity Management been audited within in the last 12/24/36 months? If not when was the last audit ? Please advise this was an internal or external audit?,yes,yes during ISO 27001 and ISO 27701 audit process.
"Does you organization have any of these ceritificatios:
SSAE16 or ISAE3402 Type II (formally SAS70) ISO/IEC 27001 TruSecure WebTrust Cyber Essentials Cyber essentials Plus Others?",yes,yes ISO 27001 and ISO 27701.
Have you formally assessed and documented your compliance against PCI DSS requirements in the last 12 months? If so please provide attestation as evidence,yes,Halodoc does not use credit card as payment method directly.
Have you assessed the risks to your operations and taken the necessary actions to protect your business linking with the Operational Risk team ? If yes Has a formal review of risks to the business been conducted in the past 12 months?,no,During risk assessment process as part of ISO27001 certificaton performed annually.
Do you identify and mitigate risks and/or threats to the business operations from specific events crisis incidents near misses exercises tests programmes and/or projects? ,yes,During risk assessment process as part of ISO27001 certificaton performed annually.
Have the top risks to your organization threats associated key risk indicators and major crisis response actions been presented and approved by the Directors and Officers of the Company or in a dedicated Risk Committee ?,yes,yes governed in Risk Management for Information Security and Privacy Guideline.
Were the potential financial (loss of revenue) legal/regulatory compliance reputational and customer service considered in the risk identification?,yes,yes governed in Risk Management for Information Security and Privacy Guideline.
Is there an effective set of general IT controls in place and ensure their systems are operated and maintained effectively and securely? ,yes,we have and governed by effective Policy and Procedures.
Does your organization use cloud or hosting services from a cloud service provider?,yes,yes
Does the Cloud or Hosting provided have an external audit report?,yes,yes
Has your organization had a data breach or security incident within the last 12 months?,no,no
"Does your organization encrypt all data in transit to or from or at rest on mobile devices workstations and any other in-scope end user devices?
If no or N/A please explain.",yes,We use encryption implemented by AWS Cloud.
Does your organization have a documented data classification and data handling standard in place as part of IT security policy and standards?,yes,Defined in SMKI Procedure.
Does your organization define ownership of information (data) and information systems to ensure that owners make decisions about classifying information and systems and protect them in line with this classification?,yes,yes
Does your organization's Information Owner consult with Information Security Compliance Privacy Legal and Records Management for guidance on established processes as well as evaluating regulatory or legal implications of any Information loss or theft incident?,yes,yes
Does your organization have Controls in place to ensure Encryption is being used when presenting information to customers via the web?,yes,Data transfer done via shared drive (encrypted) only. 
Does your organization require removable media containing Internal Confidential or Highly Confidential information be encrypted?,no,We block USB port to prevent removable media usage.
Does your organization store Internal Confidential or Highly Confidential information on servers within the public DMZ (Demilitarized Zone)?,no,We store the data in the AWS Cloud.
Is all user and admin access Approved by a person’s manager or the manager’s delegate prior to any account provisioning activity?,yes,yes
Does your organization's account provisioning process produce the following artifacts for retention: Account name Account owner Access rights Business justification Access requestor approver and approval date?,yes,yes
Does your organization's account provisioning process require on creation account names that are unique and that every account is assigned to a single accountable person?,yes,yes
Do Service accounts (i.e. non-user accounts) have interactive account login capabilities disabled?,no,We dont have Service Account.
Does your organization use a centralized identity management system?,yes,yes
Does your organization use automated Password Vaulting and are passwords approved prior to vaulting?,yes,yes
Within the Access Management process is separation of duties enforced by ensuring the person requesting account access changes is different than the person authorizing or provisioning the request?,yes,yes
Does your organization perform access reviews?,yes,yes
Does your organization have a process in place to review and update access for transferred users?,yes,yes
If not what is the timeframe?,no,no
Does your organization have a process in place to remove access from terminated users within 24 hours?,yes,yes
Does your organization have controls in place to log and monitor privileged sessions?,yes,yes
Is multifactor authentication (MFA) used at the application level?,yes,yes
Is multifactor authentication (MFA) used for personal mobile devices (Bring Your Own Devices (BYOD)?,yes,yes
Does your organization assign network accounts with privileged access rights to an account different from a person's primary network account?,yes,yes
Is it your organization's policy to ensure that security requirements are documented and that applications are designed built configured deployed and monitored to meet Industry best practices information security requirements?,yes,yes
Does your organization follow a formal change and release management process for security configuration management for all network hardware and software assets on its networks?,yes,yes
Does your organization have a process in place to ensure risk assessments are initiated to identify and evaluate security requirements?,yes,yes
Does your organization utilize software code to support services for Manulife/JH?,yes,yes
Does your organization perform security code scans?,yes,yes
Does your organization remediate New critical high and medium severity issues discovered during the code review / code scan before moving the application to production?,yes,yes
Does your organization have Controls in place to design develop deploy and test Applications and programming interfaces (APIs) in accordance with leading industry standards?,yes,yes
Does your organization have controls in place to restrict the ability of users to install software or hardware and edit registry settings?,yes,yes
Does your organization perform security testing for new applications or major changes to existing applications before moving to production or for applications in a non-production environment exposed to the internet?,yes,yes
Does your organization document assess remediate or remove open-source applications for security vulnerabilities with known exploits?,yes,yes
Does your organization register the source code repository in the enterprise IT asset inventory system?,yes,yes
Does your organization restrict access to program source code and associated items (e.g. designs specifications verification plans validation plans)?,yes,yes
Does your organization conduct penetration tests on Applications that are performed by either a third-party vendor or by independent staff?,yes,yes
Does your organization document the confirmation of an application security vulnerability and the declared severity rating after the vulnerability has been detected and reviewed?,yes,yes
Does your organization require Two-factor authentication for all code repository accounts?,yes,yes
Does your organization require code to be enrolled and continuously monitored by an open source scanning tool for all libraries and versions in use or in development?,yes,yes
Does your organization require major changes/updates complete static and dynamic application security testing prior to deployment to production?,yes,yes
Does your organization have a current MANAGEMENT OF PASSWORDS policy or standard?,yes,yes
Does the password require complexity?,yes,yes
Do systems require a time out auto logout?,yes,yes
Does your organization hash Passwords when stored?,yes,yes
Does your organization maintain an asset inventory until decommissioned lost stolen destroyed or otherwise rendered unusable?,yes,yes
Does your organization require IT assets to have an explicit owner accountable to ensure that all information risk controls are applied?,yes,yes
Does your organization have a (Technology) Acceptable Use Policy (AUP) for employees contractors and third-party personnel?,yes,yes
Does your organization have a security incident response policy/plan?,yes,yes
Does your organization have an Incident Response team in place?,yes,yes
Does your organization conduct an annual Tabletop exercise to confirm the Incident Management processes and procedures?,yes,yes
Does your organization ensure vendor applications and systems record user and system activities exceptions faults and information security events at a minimum?,no,Vendor do not have access to our system.
Does your organization retain event records for at least 30 days online and retained offline for 1 year?,yes,yes
Does your organization's event logs refrain from including confidential or highly confidential information except in cases where it is unavoidable?,yes,yes
Does your organization copy logs in real time to a separate system for storage to ensure no privileged user of the information system can alter or remove log entries?,yes,yes
Does your organization have a Mobile device policy or a Bring Your Own Devices (BYOD) policy which monitors usage restrictions defines and establishes configurations which ensure the security of the mobile devices?,yes,yes
Does your organization require all users to authenticate to their mobile devices? For example: use of password PIN (Personal Identification Number) or biometrics?,yes,yes
Is there an authorization and monitoring mechanism in place to identify and allow only approved mobile devices to connect to your organization's network?,yes,yes
Does your organization require all lost or stolen devices be reported to your service desk?,yes,yes
Does your organization require all applications with access to Manulife/John Hancock data be formally approved prior to installation on company-owned devices?,yes,yes
Does your organization follow the principle of least privilege for Site-to-site VPN connections limiting access to only the ports and internet protocol (IP) addresses required for business purposes?,yes,yes
Has your organization implemented All wireless communications remote access and communications and site-to-site virtual private network (VPN) connections and communications to be encrypted?,yes,yes
Does your organization mandate the use of multi-factor authentication (MFA) for all remote access and VPN users?,yes,yes
Has your organization implemented protection and control over network traffic between security zones through external and internal perimeters?,yes,yes
Has your organization implemented protection of systems by enabling tools for network detection prevention and monitoring?,yes,yes
0 7 Is your organization's network capable of automatically detecting and blocking unauthorized systems connecting to the network?,yes,yes
Does your organization have a network-based Intrusion Detection System (IDS) or Intrusion Prevention System (IPS)?,yes,yes
Does your organization restrict access to the network perimeter and remote access to the network to designated personnel?,yes,yes
Does your organization monitor and/or alert logging on events with a central platform such as a SIEM?,yes,yes
Does your organization require systems not in the public DMZ to deny any direct connections initiated from the untrusted zone?,yes,yes
Does your organization inspect Internet access and web content from all zones within your organization's network at all times?,yes,yes
Does your organization configure servers within the public DMZ to be stand-alone without having membership with any internal Windows domain?,no,We don't have windows domain.
Has your organization implemented a process which verifies Web connections to the internet are inspected for data loss protection (DLP) and malware protection?,yes,yes
Has your organization implemented a remote access network infrastructure which is configured to confirm that the connecting end-point device is isolated from the device’s source network once the connection to your network is established?,yes,yes
Does your organization have authentication mechanisms configured to require authentication of authorized remote access clients prior to connecting to your Internal network through remote access devices and from accessing your Network Infrastructure via the internet through a remote access gateway?,yes,yes
Has your organization implemented any redundant network connection solutions isolated from managed networks and if so are these connections hardened following industry best practices?,yes,yes
Does your organization network infrastructure have an architectural plan that outlines how intrusion would be detected?,yes,yes
Does your organization's architectural plan include a project plan intrusion technology design document and connectivity diagram?,yes,yes
Does your organization-managed network infrastructures detect and prevent intrusion at critical ingress points?,yes,yes
Are all assets that use the trusted user access zone configured to locally deny network traffic when not connected to your network?,yes,yes
Does your organization encrypt Wireless access point controller configurations such as the virtual router redundancy protocol (VRRP) settings and any pre-shared keys?,yes,yes
Has your organization implemented VoIP (Voice over Internet Protocol) traffic (i.e. signaling media packets application sharing streams etc.) to be encrypted in transit between Vendor end points?,yes,yes
Does your organization scan and assess hardening for all VoIP and video communication platforms and equipment per Industry Hardening Standards?,yes,yes
Does your organization have non encrypted VoIP traffic? If so is this traffic logically or physically separated from the rest of the network?,no,no
Does your organization's VoIP systems and servers have a unique and dedicated internet protocol (IP) address block or range that is separate from those used by other environments?,yes,yes
Does your organization configure VoIP calls to be encrypted in transit between your end points and call details configured to include caller and recipient identity time of call and call duration?,yes,yes
Has your organization implemented VoIP-aware firewalls or equivalent devices are deployed and configured to identify and mitigate attacks against VoIP protocols and block any unauthorized access to vendor VoIP systems from internal and public IP networks and to facilitate call signaling and call data stream functions using a minimal number of open ports and designated IP address ranges?,yes,yes
Has your organization hardened all production and non-production PaaS resources in alignment with industry best practices?,no,We don't have PaaS resources
Does non-production SaaS resources connect only to approved assets?,no,We don't have non-production SaaS resource
Has your organization restricted Use of softphones to conduct Manulife business unless they are configured to block unauthorized connections or authentication requests to the softphone environment?,yes,yes
Are Gateway routers configured to accept incoming traffic only from approved service provider voice gateways and block traffic from unknown sources and unapproved service provider voice gateways?,yes,yes
"Does your organization review ""Operating procedures"" on an annual basis to ensure procedures are accurate and comprehensive?",yes,yes
Does your organization store backups in a different location from where the primary asset/information is maintained?,yes,yes
Does your organization encrypt all Backups containing Confidential and Highly Confidential data during transport or at rest?,yes,yes
Does your organization test at least annually backup restoration procedures and backup media to ensure it remains suitable for backup and restoration purposes?,yes,yes
Does your organization protect physical storage of backups from physical and environmental damage?,no,We are not storing any backups in the physical storage. All our backups are stored in Cloud
Does your organization limit access to only authorized personnel to physical storage of backups?,no,We are not storing any backups in the physical storage. All our backups are stored in Cloud
Does your organization monitor system resources and are projections of future capacity requirements defined tracked and monitored to ensure the required system performance?,yes,yes
Does your organization ensure the system capacity requirements and thresholds are defined and documented for all new and existing systems that contain Manulife/JH information?,yes,yes
Are Capacity thresholds established and notifications sent to the system’s support team(s) if they are exceeded?,yes,yes
Does your organization mask Production data classified as Confidential or Highly Confidential before use in any non-production environment? Masking can include tokenization substitution shuffling or data variance.,yes,yes
Does your organization require Each system or application change have one or more Change Approvers to make certain that a Change Owner cannot approve his or her own change?,yes,yes
Does your organization require changes to be tested prior to being applied to the production environment?,yes,yes
Does your organization require Emergency changes to be authorized prior to implementation although formal documentation may be retroactive?,yes,yes
Does your organization require production and non-production environments to be separated to reduce the risk of unauthorized access or change to the production environment.,yes,yes
Does your organization allow testing to be conducted in a production environment outside of an authorized change?,yes,yes
Does your organization require an operationally critical application to be backed up at least every 7 days if information has changed since the last backup?,yes,yes
Does your organization require certification of media disposition to be completed by the System Owner upon sanitization of each piece of electronic media?,no,The data are stored in cloud storage not in physical.
Does your organization securely destroy non-public data no longer required?,no,The data are stored in cloud storage not in physical.
Has your organization implemented the ability to remotely purge or wipe non-public information on devices or environments outside your direct control in the event that these devices or environments are in the possession of unauthorized individuals or entities or if no direct sanitization or destruction capability is available at the end of the information's retention period?,no,The data are stored in cloud storage not in physical.
Does your organization utilize a threat intelligence service to help you identify assess monitor and respond to cyber-threats?,yes,yes
Does the service subscribe to multiple threat information feeds and are these feeds integrated with a Security Information and Event Management (SIEM) solution?,yes,yes
Does your organization follow industry best practices for Technical Hardening Requirements (THR)?,yes,yes
Does your organization consider and mitigate cyber risk arising from the use of any unsupported software?,yes,yes
Has your organization enabled anti-malware on all general-purpose computing devices that are capable of employing anti-malware controls?,yes,yes
Has your organization implemented Anti-malware software configured to run a full system scan once per week?,yes,yes
Does your organization conduct regular vulnerability hardware and software scans and testing for client server and network infrastructure to identify security control gaps?,yes,yes
Has your organization implemented a penetration test program that is executed at least annually?,yes,yes
Does your organization remediate critical high medium or exploitable vulnerabilities identified through the penetration test?,yes,yes
Has your organization implemented an ongoing Vulnerability Management program that continually monitors your environment to detect vulnerabilities?,yes,yes
Is it part of your organization's process to remediate critical high medium or exploitable vulnerabilities identified through the vulnerability testing scans?,yes,yes
Does your organization have a process to obtain test and automatically deploy security patches and updates in a timely manner based on criticality?,yes,yes
Does your organization remediate outstanding patches by risk level?,yes,yes
Has your organization enabled all general-purpose computing IT assets capable of supporting Endpoint Detection and Response (EDR)?,yes,yes
Does your organization provide privileged credentials to be used for authenticated vulnerability scans for each IT asset where an authenticated vulnerability scan is possible to eliminate false negatives?,yes,yes
Does your organization safeguard Credentials used for authenticated vulnerability scans and passwords or keys rotated?,yes,yes
Does your organization have a process in place to ensure scans cover the entire enterprise network?,yes,yes
Does your organization's scans or vulnerability assessments include available threat data known exploits or active threat campaigns targeting specific CVE's (Common Vulnerabilities and Exposures)?,yes,yes
Does your organization require endpoint protection tools to check for updates at least once per day for signatures definitions and any other updatable content?,no,Halodoc Using NGAV Crowdstrike that uses a combination of artificial intelligence behavioral detection machine learning algorithms and exploit mitigation.
Does your organization require endpoint protection tools to generate and store logs remotely on a centralized logging system and configured to prevent privileged users from disabling the protection?,yes,yes
Does your organization assess information security implications of using third-party products or services including the risks related to access to your systems and information assets and initiate risk treatment activities before the vendor enters into contractual relationship implementation of system/service or access to your information by third party?,yes,yes
Does your organization perform vendor assessments to evaluate the effectiveness of the third party's risk management program including policies processes and internal controls?,yes,yes
For vendors with a heightened level of risk does the review performed determine mandatory security clauses relevant to the third party and its scope of services?,yes,yes
Does your organization specify third party contractual obligations in respect of information security including the frequency and the types of reports required as applicable to the services within your contracts?,yes,yes
Does your organization conduct pre-contract due diligence to evaluate third party's control environment and conduct third party re-assessments at frequent intervals to identify manage and monitor information risks?,yes,yes
Does your organization ensure performance issues or concerns related to your third-parties are tracked through to resolution?,yes,yes
Does your organization review annually SOC 1 Type 2 reports bridge letters or other external audit reports for third parties who either provide services or provide an IT platform cloud solution or application directly impacting financial statements?,no,no
Does your organization consider both control design and operating effectiveness (review external audit reports) as part of the assessment review for third parties?,yes,yes
As part of your third-party risk management program does your organization determine and document the residual risk of the third-party?,yes,yes
Does your organization have a policy or procedure in place to validate the data retrieval / destruction or the application migration from third party back to your organizations once a contract is terminated?,yes,yes
Does your organization collaborate business resumption planning and recovery exercises at a minimum a table-top exercise with critical third parties?,no,no
Does your organization perform Background checks on employees?,yes,yes
Does your organization perform Background checks on subcontractors/contingent workers (resources provided by a third-party)?,yes,yes
Is a background check performed for re- hired employees with a break in service greater than 12 months?,yes,yes
Does your organization have mandatory Information Security Program training and awareness for employees?,yes,yes
Does your organization have mandatory Information Security Program training and awareness for subcontractors/contingent workers?,yes,yes
Does your organization have dedicated Information security personnel?,yes,yes
Are the individuals required to participate in Continuing Education or training?,yes,yes
Does your organization perform a Business Impact Analysis (BIA) to determine the maximum allowable downtime for all business processes?,yes,yes
Does your organization have a Business Continuity Program?,yes,yes
Does your organization have a Business Continuity plan?,yes,yes
Does your organization test the Business Continuity plan annually?,yes,yes
Does the business continuity test include notification exercises?,yes,yes
Has your organization performed a table-top business continuity plan exercise within the past 12 months?,yes,yes
Does your organization perform alternate site testing of its Business Continuity Program?,no,no
Has your organization performed an unannounced alternate site exercise within the past 12 months?,no,no
Does your organization have a Disaster Recovery Program?,yes,yes
Does your organization perform testing of its Disaster Recovery Program?,yes,yes
Has a Disaster Recovery Plan exercise been conducted within the past 12 months?,yes,yes
Was the test successful?,yes,yes
If the most recent Disaster Recover test was not successful is there a plan to retest or has it been retested?,no,no
What is the expected Recovery Time Objective (RTO) for the most recent Disaster Recovery test?,no,The method use in the exercise is Tabletop Exercise therefore there was no RTO being set.
What is the RTA achieved for the most recent DR test?,no,The method use in the exercise is Tabletop Exercise therefore there were no calculation on the RTA.
What is the Recovery Point Objective (RPO) received for the most recent disaster recovery test?,no,The method use in the exercise is Tabletop Exercise therefore there was no RPO being set.
What is the RPA achieved for the most recent DR test?,no,The method use in the exercise is Tabletop Exercise therefore there were no calculation on the RPA.
Has your organization implemented Controls to detect and prevent emerging and known threats and enable business recovery and continued operations?,yes,yes
If your organization's most recent Disaster recovery test was not successful is there a plan to retest or has it been retested?,no,no
